oxford,1
meter,1
radius,1
high,1
lines,1
there,30
range,1
point,1
border,10
england,7
name,3
number,1
car,5
wales,2
derry,1
most,9
antrim,1
durham,1
council,3
east,2
anfield,1
john,1
baptist,1
west,4
capital,1
football,1
capacity,1
the,1
essex,1
lancashire,1
north,3
meters,2
level,1
height,1
population,7
people,1
crosses,1
distric,1
train,1
welsh,1
hampshire,1
airfield,1
yorkshire,1
gas,1
cross,1
part,3
councils,1
tourist,1
attractions,1
scotland,1
length,2
elevation,1
chesire,1
angel,1
south,1
great,1
fire,1
london,1
terms,1
distance,1
art,1
cheshire,1
